1,Man City,32,23,5,4,67,23,44,74
2,Man United,30,17,9,4,58,33,25,60
3,Leicester City,30,17,5,8,53,34,19,56
4,Chelsea,31,15,9,7,50,31,19,54
5,Liverpool,31,15,7,9,53,37,16,52
6,West Ham,30,15,7,8,48,37,11,52
7,Tottenham,30,14,7,9,51,32,19,49
8,Everton,29,14,5,10,41,38,3,47
9,Leeds United,31,14,3,14,49,49,0,45
10,Aston Villa,30,13,5,12,43,33,10,44
11,Arsenal,30,12,6,12,40,35,5,42
12,Wolves,31,10,8,13,31,41,-10,38
13,Crystal Palace,31,10,8,13,33,52,-19,38
14,Southampton,30,10,6,14,39,53,-14,36
15,Burnley,30,8,9,13,24,40,-16,33
16,Brighton,30,7,11,12,33,38,-5,32
17,Newcastle,30,7,8,15,30,50,-20,29
18,Fulham,32,5,11,16,24,42,-18,26
19,West Brom,30,4,9,17,25,59,-34,21
20,Sheffield United,30,4,2,24,17,52,-35,14
